ORDER,Type,Representing Country/Organization,Name,Function
0,Organizing Committee,Belgium FPS,Mr Peter Verbrugghe,"SIDS co-ordinator, Federal Public Service Foreign Affairs, DG Multilateral Affairs - United Nations Department"
0,Organizing Committee,Belgium FPS,Mrs Sophie Mirgaux," Federal Public Service of Public Health, Food Chain Safety and Environment, Department for the Marine Environment"
0,Organizing Committee,UNESCO-Intergovernmental Oceanographic Commission,Mr Ward Appeltans,"Manager OBIS, GOOS Biology & Ecosystems, IOC focal point Marine Biodiversity"
1,Special Function holders,BBNJ,Mr Carlos Sobral Duarte,Chair BBNJ PrepCom / DPR of the permanent mission of Brazil to the United Nations
1,Special Function holders,BBNJ,Mrs Tan Hui Ching Rena Lee,"BBNJ PrepCom Facilitator of the Informal Working Group on CB/TMT. Senior State Counsel, International Affairs Division, Singapore "
1,Special Function holders,BBNJ,Mrs Janine Elizabeth Coye-Felson,"Nominated as BBNJ PrepCom Facilitator of the Informal Working Group on MGR. Ambassador/DPR, Permanent Mission of Belize to the United Nations"
1,Special Function holders,BBNJ,Mrs Alice Hicuburundi,"Secretary of the BBNJ PrepCom. UN-The Division for Ocean Affairs and the Law of the Sea"
1,Special Function holders,UN,Mrs Shifaana Thowfeequ,"Economic Affairs Officer UN office of the high repr for the LDC, landlocked developing countries and SIDS"
1,Special Function holders,UN,Mr Alejandro Sousa Bravo,"Office of the President of the United Nations General Assembly, Permanent Representative of Samoa to the United Nations"
1,Special Function holders,AOSIS,Mr Ahmed Sareer,"AOSIS Chair, Ambassador and Permanent Representative of Maldives to the United Nations"
1,Special Function holders,Caribbean Community - CARICOM,Mrs Lois Michele Young,"Co-Chair CARICOM, Ambassador, Permanent Representative of Belize to the United Nations"
2,SIDS Member States,Antigua and Barbuda,Mrs Challenger Asha,Permanent Mission of Antigua and Barbuda to the United Nations
2,SIDS Member States,Bahamas,Mr Craig Wayne Powell ,"Legal Adviser, Permanent Mission of the Bahamas to the United Nations"
2,SIDS Member States,Barbados,Mrs Juliette Babb-Riley,"Deputy Permanent Representative, Permanent Mission of Barbados to the United Nations"
2,SIDS Member States,Belize,Mr Dylan Gregory Vernon,"Ambassador, Permanent Mission of Belize to Belgium "
2,SIDS Member States,Belize,Ms Ayesha Borland,"Minister Counsellor, Permanent Mission of Belize to Belgium"
2,SIDS Member States,Cape Verde,Mr José Filomeno Monteiro,"Ambassador, Permanent Mission of Cape Verde to Belgium"
2,SIDS Member States,Cape Verde,Mr José Carlos Gomes Mendonça,"First Secretary, Permanent Mission of Cape Verde to the United Nations"
2,SIDS Member States,Cape Verde,Mrs Dulce Fernandes,"Counsellor, Permanent Mission of Cape Verde to Belgium"
2,SIDS Member States,Comoros,Mr Abdallah Ahmed,"DPR, charge d'affaires, Permanent Mission of the Comoros to the United Nations"
2,SIDS Member States,Cook Islands,Mrs Tekau Magali Frere,Permanent Mission of Cook Islands to the United Nations
2,SIDS Member States,Cuba,Mrs Norma Goicochea Estenoz,"Ambassador, Permanent Mission of Cuba to Belgium, Luxemburg and EU"
2,SIDS Member States,Cuba,Mrs Susana Legrá Durán,"Counsellor, Permanent Mission of Cuba to Belgium, Luxemburg and EU"
2,SIDS Member States,Cuba,Mrs Mara Fuentes Goicochea,"Third Secretary, Permanent Mission of Cuba to Beligum, Luxemburg and EU"
2,SIDS Member States,"Dominica, St. Kitts & Nevis, St. Lucia, St. Vincent & the Grenadines",Mrs Sharlene Shillingford-Mcklmon,"Chargé d'Affaires ad interim of Permanent Mission of Dominic, St. Kitts & Nevis, St. Lucia and St. Vincent & the Grenadines to Belgium"
2,SIDS Member States,"Dominica, St. Kitts & Nevis, St. Lucia, St. Vincent & the Grenadines",Ms Juliet Sutherland,"Second Secretary, Permanent Mission of Dominic, St. Kitts & Nevis, St. Lucia and St. Vincent & the Grenadines to Belgium"
2,SIDS Member States,Dominican Republic,Mr Carlos Antonio Michelen,"Ambassador, Permanent Mission of the Dominican Republic to the United Nations"
2,SIDS Member States,Dominican Republic,Mr Andy Rodriguez Durán,"Chargé d'Affaires ad interim, Permanent Mission of Dominican Republic to Belgium"
2,SIDS Member States,Dominican Republic,Mrs Acsamary Guzmán Nina,"Minister Counsellor, Permanent Mission of Dominican Republic to Belgium"
2,SIDS Member States,Fed States of Micronesia,Mr Jeem S. Lippwe,Permanent Mission of Fed States of Micronesia to the United Nations
2,SIDS Member States,Fiji,Mr Deo Saran,"Ambassador, Permanent Mission of Fiji in Brussels "
2,SIDS Member States,Fiji,Mr Nidhendra Pratap Singh,"Counsellor, Permanent Mission of Fiji to Belgium"
2,SIDS Member States,Fiji,Mr Gene Waqanivalu Bai,"First Secretary, Permanent Mission of Fiji to the United Nations"
2,SIDS Member States,Grenada,Mrs Nerissa Williams,Permanent Mission of Grenada to the United Nations
2,SIDS Member States,Guinea-Bissau,Mrs Alfredo Lopes Cabral,"Ambassador, Permanent Mission of Guinea-Bissau to Belgium"
2,SIDS Member States,Guinea-Bissau,Mrs Maria Pinto Lopes D’Alva,"Counsellor, Permanent Mission of Guinea-Bissau to the United Nations"
2,SIDS Member States,Guyana,Mr David Hales,"Ambassador, Permanent Mission of Guyana to Belgium"
2,SIDS Member States,Guyana,Mrs Bevon Mc Donald,"Counsellor, Permanent Mission of Guyana to Belgium"
2,SIDS Member States,Haiti,Mr Garrincha St Germain,"First Secretary and Charge d'Affairs, Permanent Mission of Haiti to Belgium"
2,SIDS Member States,Jamaica,Mrs Vilma Kathleen McNish,"Ambassador, Permanent Mission of Jamaica to Belgium "
2,SIDS Member States,Jamaica,Mrs Diedre Nichole Mills,"DPR, Permanent Mission of Jamaica to the United Nations"
2,SIDS Member States,Jamaica,Ms Allele Reid,"First Secretary, Permanent Mission of Jamaica to Belgium"
2,SIDS Member States,Jamaica,Mrs Faith Mullings Williams,"Minister Counsellor, Permanent Mission of Jamaica to Belgium"
2,SIDS Member States,Kiribati,Mr Baraniko Baaro,"First Secretary and DPR, Permanent Mission of Kiribati to the United Nations"
2,SIDS Member States,Maldives,Mr Ahmed Shaan,"Ambassador, Permanent Mission of Maldives to Belgium "
2,SIDS Member States,Maldives,Mr Ismail Raushan Zahir,"Permanent Mission of Maldives to the United Nations"
2,SIDS Member States,Maldives,Ms Fathimath Ghina,"Counsellor, Permanent Mission of Maldives to Belgium"
2,SIDS Member States,Mauritius,Mr Haymandoyal Dillum,"Ambassador, Permanent Mission of Mauritius to Belgium "
2,SIDS Member States,Mauritius,Ms Nundini Pertaub,"Ambassador, Permanent Mission of Mauritius to the United Nations"
2,SIDS Member States,Mauritius,Mrs Nandita K. Mandary ,"Second Secretary, Permanent Mission of Mauritius to Belgium"
2,SIDS Member States,Nauru,Mrs Margo Reminisse Deiye,"Chair P-SIDS, Permanent Mission of Nauru to the United Nations"
2,SIDS Member States,Nauru,Mrs Joan Josephine Yang ,Permanent Mission of Nauru to the United Nations
2,SIDS Member States,Palau,Ms Ngedikes Olai Uludong,"Ambassador, Permanent Mission of Palau to Belgium and Permanent Representative of Palau to the United Nations"
2,SIDS Member States,Palau,Mr Raakook Singeo,"First Secretary, Permanent Mission of Palau to Belgium"
2,SIDS Member States,Palau,Mr Raymond Qin,Personal Assistent to the Ambassador of Palau to Belgium
2,SIDS Member States,Papua New Guinea,Mr Joshua Kalinoe,"Ambassador, Permanent Mission of Papua New Guinea to Belgium"
2,SIDS Member States,Papua New Guinea,Mr Fred Sarufa ,"DPR, Permanent Mission of Papua New Guinea to the United Nations"
2,SIDS Member States,Papua New Guinea,Mr Lucas Manduru,"First Secretary, Permanent Mission of Papue New Guine to Belgium"
2,SIDS Member States,Samoa,Mr Paolelei Luteru,"Ambassador, Permanent Mission of Samoa to Belgium "
2,SIDS Member States,Samoa,Ms Miriama Betham-Malielegaoi,Permanent Mission of Samoa to the United Nations
2,SIDS Member States,Säo Tomé and Principe,Mr Américo Afonso Lima Viegas,"First Secretary and Chargé d'Affairs, Permanent Mission of Säo Tomé and Principe to Belgium"
2,SIDS Member States,Seychelles,Mr Selby Pillay,"Ambassador, Permanent Mission of Seychelles to Belgium"
2,SIDS Member States,Seychelles,Mr Ronald Jean Jumeau,Ambassador for Climate Change and SIDS Issues of the Republic of Seychelles to the United Nations
2,SIDS Member States,Seychelles,Mrs Johnette Stephen,"First Secretary, Permanent Mission of Seychelles to Belgium"
2,SIDS Member States,Solomon Islands,Mr Robert Sisilo,"Permanent Representative, Permanent Mission of Solomon Islands to the United Nations"
2,SIDS Member States,Solomon Islands,Mrs Faye Mose,"Counsellor, Permanent Mission of Solomon Islands to Belgium"
2,SIDS Member States,St. Kitts and Nevis,Mr Thomas Marc Williams,Permanent Mission of St. Kitts and Nevis to the United Nations
2,SIDS Member States,St. Vincent and the Grenadines,Ms Isis Azalea Maria Gonsalves,Permanent Mission of St. Vincent and the Grenadines to the United Nations
2,SIDS Member States,Suriname,Ms Jo-Ann C. Buyne,"Second Secretary, Permanent Mission of Suriname to Belgium"
2,SIDS Member States,Timor-Leste,Mr Fransisco Tilman Cepeda,"Ambassador, Permanent Mission of Timor-Leste to Belgium"
2,SIDS Member States,Timor-Leste,Mrs Madalena Filipe,"Ambassador, First Secretary, Permanent Mission of Timor-Leste to Belgium"
2,SIDS Member States,Tonga,Mr Mahe ‘Uli’uli Sandhurst Tupouniua,Ambassador and Permanent Representative of Tonga to the United Nations
2,SIDS Member States,Trinidad and Tobago,Mr Colin Connelly,"Ambassador, Permanent Mission of Trinidad and Tobago to Belgium"
2,SIDS Member States,Trinidad and Tobago,Ms Lizanne Michelle Aching,"Second Secretary, Permanent Mission of Trinidad and Tobago to the United Nations"
2,SIDS Member States,Trinidad and Tobago,Ms Joanne Brooks,"Second Secretary, Permanent Mission of Trinidad and Tobago to Belgium"
2,SIDS Member States,Tuvalu,Mr Tine Leuelu,"Ambassador, Permanent Mission of Tuvalu to Belgium"
2,SIDS Member States,Tuvalu,Ms Sunema Pie Simati,"First Secretary, Permanent Mission of Tuvalu to the United Nations"
2,SIDS Member States,Tuvalu,Mrs Lilian Leuelu,"First Secretary, Permanent Mission of Tuvalu to Belgium"
2,SIDS Member States,Vanuatu,Mr Odo Tevi,"Ambassador and Permanent Representative of Vanuatu to the United Nations"
2,SIDS Member States,Vanuatu,Mr Noah Patrick Kouback,"Counsellor, Permanent Mission of Vanuatu to Belgium"
3,Host Member State,Belgium FPS,Mr Didier Reynders,"Belgium’s Deputy Prime Minister and Minister of Foreign Affairs and European Affairs"
3,Host Member State,Belgium FPS,Mr Philippe De Backer,"Secretary of State, North Sea"
3,Host Member State,Belgium FPS,Mrs Valérie Cuvelier,"Advisor to Belgium’s Deputy Prime Minister and Minister of Foreign Affairs and European Affairs"
3,Host Member State,Belgium FPS,Mr Marc Mullie,"Federal Public Service Foreign Affairs, Cabinet"
3,Host Member State,Belgium FPS,Mr Werner Bauwens,"Deputy Director General Multilateral Affairs, United Nations department Federal Public Service Foreign Affairs"
3,Host Member State,Belgium FPS,Mrs Bénédicte Frankinet, Special Envoy for the candidature of Belgium to the Security Council
3,Host Member State,Belgium FPS,Mr Antoine Misonne,"Jurisconsult, Permanent Mission of Belgium to the United Nations"
3,Host Member State,Belgium FPS,Mr Eugène Vancraeyvelt,President of the Committee of Directors of the Federal Public Service Mobility
3,Host Member State,Belgium FPS,Mr Peter Wittoeck,"Head of Section, Federal Public Service Health, Food Chain Safety and the Environment, DG Environment - Climate Change Section"
3,Host Member State,Belgium FPS,Mr Geert Fremout,"International Cooperation Team, Federal Public Service Health, Food Chain Safety and the Environment, DG Environment - Climate Change Section"
3,Host Member State,Belgium FPS,Mr Mohamed Lahmidi,"First Secretary, Federal Public Service Foreign Affairs, DG Bilateral Affairs - Amercia & Carribean section"
3,Host Member State,Belgium FPS,Mr Ulrik Lenaerts,"Attaché, Federal Public Service Foreign Affairs, DG Multilateral Affairs and Globalization - Sustainable Development and Environment section"
