date/time,type,place,title,speaker/moderator,name,link
2017-03-07T07:30,transport,,"Arrival Brussels Airport, bus shuttles to Hotel Brussels",,,
2017-03-07T09:00,break,Brussels,Hotel check-in,,,
2017-03-07T16:00,transport,,"Departure from hotel to Egmont Palace nr 8bis, Brussels, 5 min walk, registration of participants",,,
2017-03-07T17:00/18:00,workshop,Brussels/Egmont Palace,High Level Segment. Official welcome and speeches.,speaker, H.E. Mr Didier Reynders (Belgium’s Deputy Prime Minister and Minister of Foreign Affairs and European Affairs),
2017-03-07T17:00/18:00,workshop,Brussels/Egmont Palace,,speaker,H.E. Mr Ahmed Sareer (AOSIS Chair and Ambassador and Permanent Representative of Maldives to the United Nations),
2017-03-07T18:00/21:00,workshop,Brussels/Egmont Palace,Walking dinner and Exposition NGOs and Companies blue economy / sustainable development,,,
2017-03-07T21:00,transport,,"End, back to hotel (walking)",,,
2017-03-08T08:30,transport,,Bus shuttle from hotel to IOC-UNESCO office in Ostend,,,
2017-03-08T10:00/10:30,break,Oostende/UNESCO-IOC,Coffee/Tea,,,
2017-03-08T10:30/10:40,workshop,Oostende/UNESCO-IOC,Introduction to workshop objectives,speaker,"Mr Werner Bauwens (Deputy Director General for Multilateral and Global Affairs, Belgium’s Foreign Affairs)",
2017-03-08T10:40/10:50,workshop,Oostende/UNESCO-IOC,Status of BBNJ process,speaker,Mrs Alice Hicuburundi (UN-DOALOS),docs/0_2_BBNJ_for_Belgium_v1.pdf
2017-03-08T10:50/12:30,workshop,Oostende/UNESCO-IOC,BBNJ workshop part 1 - Capacity Development and Transfer of Marine Technology,moderator, H.E. Mrs. Lois Michel Young (PR of Belize and co-Chair of CARICOM),
2017-03-08T11:00/11:15,workshop,Oostende/UNESCO-IOC,"Introduction to IOC project office for IODE, IOC CD Strategy and OceanTeacher Global Academy",speaker,Mr Peter Pissierssens (IOC-UNESCO),docs/1_1_IODE_presentation_SIDS_march2017.pptx
2017-03-08T11:15/11:30,workshop,Oostende/UNESCO-IOC,The Ocean Biogeographic Information System (OBIS) as a biodiversity data sharing platform and clearing house,speaker,Mr Ward Appeltans (IOC-UNESCO),docs/1_2_20170308_OBIS-SIDS.pptx
2017-03-08T11:30/11:45,workshop,Oostende/UNESCO-IOC,"IOC’s perspectives on CD and TMT, SDG14 and an Ocean Science Decade",speaker,Mr Ariel Troisi (IOC-UNESCO Vice-Chair),docs/1_3_Troisi_SIDS_WS_Belgium_final.pptx
2017-03-08T11:45/12:30,workshop,Oostende/UNESCO-IOC,Q&A session and group discussion,,,
2017-03-08T12:30/14:00,break,Oostende/UNESCO-IOC,Light lunch and coffee/tea,,,
2017-03-08T14:00/15:30,workshop,Oostende/UNESCO-IOC,BBNJ workshop part 2 - Capacity Development and Marine Biodiversity Conservation,moderator, H.E. Mr Mahe ‘Uli’uli Sandhurst Tupouniua (Ambassador and Permanent Representative of Tonga to the United Nations),
2017-03-08T14:10/14:25,workshop,Oostende/UNESCO-IOC,Environmental impact assessment in ABNJ: challenges and opportunities for SIDS,speaker,"Mr Glen Wright (IDDRI, France)",
2017-03-08T14:25/14:40,workshop,Oostende/UNESCO-IOC,The role of Marine Protected Areas in ABNJ,speaker,"Mr Callum Roberts (University of York, UK)",
2017-03-08T14:40/14:55,workshop,Oostende/UNESCO-IOC,Designing ecologically connected network of Marine Protected Areas in Palau,speaker,Mr Yimnang Golbuu (Palau International Coral Reef Center),
2017-03-08T14:55/15:45,workshop,Oostende/UNESCO-IOC,Q&A session and group discussion,,,
2017-03-08T16:00,transport,,Bus shuttle to Bruges,,,
2017-03-08T16:30/18:30,break,Bruges,Visit City of Bruges (guided tour) - welcome by Mr Renaat Landuyt (Mayor of the City of Bruges),,,
2017-03-08T18:30/21:00,break,Bruges,Dinner in Bruges at former Provincial court,,,
2017-03-08T18:40/18:50,break,Bruges,Speech,speaker,Mr Vladimir Ryabinin (IOC-UNESCO Executive Secretary),
2017-03-08T21:00/22:00,transport,,Bus shuttle return to hotel in Brussels,,,
2017-03-09T08:30/09:00,transport,,Bus shuttle from hotel to European Commission (Berlaymont),,,
2017-03-09T09:00/09:20,workshop,Brussels/EUCOM,Welcome speech,speaker,"Mr Karmenu Vella (EU Commissioner Environment, Maritime Affairs and Fisheries)",
2017-03-09T09:20/10:30,workshop,Brussels/EUCOM,BBNJ workshop part 3 - Capacity Development and Sustainable Use of Marine Biodiversity,moderator, H.E. Mr. Ronald Jean Jumeau (Amb for Climate Change and SIDS Issues of the Republic of Seychelles),
2017-03-09T09:30/09:45,workshop,Brussels/EUCOM,The opportunities and challenges of Marine Genetic Resources in ABNJ,speaker,Mr Marcel Jaspars (University of Aberdeen),
2017-03-09T09:45/10:00,workshop,Brussels/EUCOM,The role of Marine Genetic Resources in relation to Transfer of Technology,speaker,"Mrs Harriet Harden-Davies (University of Wollongong, Australia)",
2017-03-09T10:00/10:30,workshop,Brussels/EUCOM,Q&A session and group discussion,,,
2017-03-09T10:30/11:00,break,Brussels/EUCOM,Coffee/Tea,,,
2017-03-09T11:00/12:30,workshop,Brussels/EUCOM,"BBNJ workshop part 4 - wrap-up, discussion and conclusion",moderator,"Mr Werner Bauwens (Deputy Director General for Multilateral and Global Affairs, Belgium’s Foreign Affairs)",
2017-03-09T12:30/14:00,break,Brussels/EUCOM,Light lunch,,,
2017-03-09T14:00/14:30,transport,,Bus shuttle to Egmont Palace Brussels,,,
2017-03-09T14:30/16:00,workshop,Brussels/Egmont Palace,Information Session on Climate Change,moderator,"Mr Jean-Pascal van Ypersele (Université catholique de Louvain, former IPCC vice-chair)",
2017-03-09T14:40/14:55,workshop,Brussels/Egmont Palace,IPCC perspective on challenges for SIDS on climate change,speaker,"Mr Jean-Pascal van Ypersele (Université catholique de Louvain, former IPCC vice-chair)",
2017-03-09T14:55/15:10,workshop,Brussels/Egmont Palace,Update on preparations and expectations for COP23,speaker,"Mr Deo Saran (Ambassador, Permanent Mission of Fiji in Brussels)",
2017-03-09T15:10/15:25,workshop,Brussels/Egmont Palace,EU approach in supporting climate policies of SIDS,speaker,"Mrs Elina Bardram (European Commission, Head of Unit, DG Climate Action)",
2017-03-09T15:25/16:00,workshop,Brussels/Egmont Palace,Q&A session and group discussion,,,
2017-03-09T16:00/16:10,transport,,End of meeting. Walking back to hotel,,,
2017-03-10T06:30,transport,,Bus shuttle from hotel to Brussels airport ,,,
